	Anatomical Structure	Type (is-a)	Part of	Develops from	Starts at stage	Ends at stage	Description	Synonyms	UBERON (is-a)	UBERON (non-exact)	Cell type (is-a)	Cell type (non-exact)	Pubmed id
ID	A rdfs:label	C %	C  'part of' some %	C  'develops from' some %	C  'existence starts during' some %	C  'existence ends during' some %	A obo:IAO_0000115	A oboInOwl:hasExactSynonym					
CLYH:1000001	multicellular organism								UBERON:0000468				
CLYH:1000002	organism subdivision		multicellular organism				Anatomical structure which is a primary subdivision of whole organism. The mereological sum of these is the whole organism.		UBERON:0000475				
UBERON:0000061	anatomical structure												
CLYH:1000003	mouth	anatomical structure											
CLYH:1000004	tentacle system	anatomical structure											
CLYH:1000005	tentacle		tentacle system										
CLYH:1000006	germ layer	anatomical structure							UBERON:0000923				
CLYH:1000007	ectoderm	germ layer						epidermis	UBERON:0000924	UBERON:0007376			
CLYH:1000008	gastrula outer layer	ectoderm	gastrula	aboral pole of blastula	very early gastrula stage	late gastrula stage							
CLYH:1000009	oral gastrula outer layer		gastrula outer layer	oral pole of blastula	very early gastrula stage	late gastrula stage							
CLYH:1000010	aboral gastrula outer layer		gastrula outer layer	aboral pole of blastula	very early gastrula stage	late gastrula stage							
CLYH:1000011	lateral gastrula outer layer		gastrula outer layer	blastula	very early gastrula stage	late gastrula stage							
CLYH:1000012	planula ectoderm	ectoderm	planula larva	gastrula	planula P1 stage		ectoderm of the planula						
CLYH:1000013	oral planula ectoderm	planula ectoderm	planula larva	gastrula	planula P1 stage								
CLYH:1000014	aboral planula ectoderm	planula ectoderm	planula larva	gastrula	planula P1 stage								
CLYH:1000015	endoderm	germ layer						gastrodermis	UBERON:0000925				
CLYH:1000016	gastrula ingressing cells	endoderm	gastrula	oral pole of blastula	very early gastrula stage	late gastrula stage							
CLYH:1000017	oral gastrula ingressing cells		gastrula	blastula	mid gastrula stage								
CLYH:1000018	aboral gastrula ingressing cells	endoderm	gastrula	blastula	mid gastrula stage								
CLYH:1000019	planula endoderm	endoderm	planula larva	gastrula	planula P1 stage		endoderm of the planula						
CLYH:1000020	aboral planula endoderm	planula endoderm	planula larva	gastrula	planula P1 stage								
CLYH:1000021	oral planula endoderm	planula endoderm	planula larva	gastrula	planula P1 stage								
CLYH:1000022	fertilized egg	cell		gamete	one cell stage	one cell stage	cell formed by fusion of a mature female reproductive cell and a mature  male reproductive cell at fertilization				CL:00000365		
CLYH:1000023	embryo	multicellular organism		fertilized egg	one cell stage	late gastrula stage	Anatomical entity that comprises the organism in the early stages of growth and differentiation that are characterized by cleavage, the laying down of fundamental tissues,		UBERON:0000922				
CLYH:1000024	cleaving embryo	embryo		fertilized egg	one cell stage	64-cell stage	Organism at the cleavage stage		UBERON:0007010				
CLYH:1000025	2-cell embryo	cleaving embryo		fertilized egg	2-cell stage	2-cell stage	Organism at the cleavage stage  after the first  cell division						
CLYH:1000026	4-cell embryo	cleaving embryo		2-cell embryo	4-cell stage	4-cell stage	Organism at the cleavage stage after two division cycles						
CLYH:1000027	8-cell embryo	cleaving embryo		4-cell embryo	8-cell stage	8-cell stage	Organism at the cleavage stage after three division cycles						
CLYH:1000028	16-cell embryo	cleaving embryo		8-cell embryo	16-cell stage	16-cell stage	Organism at the cleavage stage after four division cycles						
CLYH:1000029	32-cell embryo	cleaving embryo		16-cell embryo	32-cell stage	32-cell stage	Organism at the cleavage stage after five division cycles						
CLYH:1000030	64-cell embryo	cleaving embryo		32-cell embryo	64-cell stage	64-cell stage	Organism at the cleavage stage after six division cycles						
